Answer,1,2,3,4,5,6,7,Wins,Game Count,Average Guesses
chafe,0,4,31,37,19,7,2,98,667789,4.0
torso,0,3,34,39,17,6,1,99,668343,3.92
adore,1,12,34,32,16,4,1,99,668366,3.6599999999999997
woken,0,1,7,25,38,23,6,94,668028,4.93
amber,0,3,19,35,26,12,5,95,667963,4.3999999999999995
joust,0,4,30,38,20,6,2,98,667808,4.0
infer,0,2,17,34,29,13,5,95,670319,4.49
braid,0,8,37,39,13,2,1,99,668980,3.67
knock,0,2,15,43,30,7,3,97,668522,4.34
naive,0,5,22,34,26,10,3,97,669014,4.2299999999999995
apply,0,4,25,39,24,7,1,99,668662,4.08
spoke,0,5,30,42,18,4,1,99,667816,3.8899999999999992
usual,0,2,17,39,29,9,4,96,669579,4.380000000000001
rival,0,5,25,38,23,7,2,98,668123,4.08
probe,0,4,23,34,26,10,3,97,667972,4.239999999999999
chord,0,4,38,41,14,2,1,99,667478,3.7499999999999996
taper,0,6,28,33,20,9,4,96,668307,4.1000000000000005
slate,4,11,36,31,13,4,1,99,667908,3.5399999999999996
third,0,7,48,34,9,1,1,99,667807,3.5200000000000005
lunar,0,4,32,43,17,3,1,99,667757,3.86
excel,0,1,11,33,36,15,4,96,666939,4.65
pinky,0,2,19,43,25,9,2,98,1348353,4.26
horse,1,8,35,32,16,6,2,98,666983,3.8
regal,0,4,21,38,26,9,2,98,665916,4.21
where,0,4,28,43,20,4,1,99,666335,3.9499999999999997
revel,0,1,11,30,35,18,5,95,664969,4.7299999999999995
email,0,6,32,37,18,6,1,99,667902,3.8899999999999997
birth,0,4,25,37,23,9,2,98,667074,4.14
blame,0,5,23,36,25,9,2,98,665267,4.159999999999999
surly,0,2,27,43,20,7,1,99,665173,4.0600000000000005
sweep,0,1,14,39,35,10,1,99,665385,4.42
cider,0,3,19,31,24,14,9,91,664504,4.54
mealy,0,3,26,43,22,5,1,99,664774,4.03
yacht,0,3,25,44,22,4,2,98,668876,4.05
credo,0,3,25,42,23,6,1,99,665958,4.07
glove,0,3,18,39,29,9,2,98,664741,4.29
tough,0,6,30,42,18,3,1,99,664663,3.85
duvet,0,2,21,46,24,6,1,99,665889,4.140000000000001
staid,0,4,35,37,15,6,3,97,664971,3.93
grout,0,6,37,38,15,3,1,99,665101,3.75
voter,0,3,20,37,25,11,4,96,665910,4.33
untie,0,6,32,40,17,4,1,99,667239,3.8400000000000003
guano,0,3,17,35,30,12,3,97,668164,4.3999999999999995
hurry,0,2,22,37,24,11,4,96,665460,4.32
beset,0,1,17,41,31,8,2,98,665498,4.339999999999999
bread,1,7,30,37,19,5,1,99,665184,3.85
every,0,2,14,36,32,13,3,97,666127,4.49
march,0,6,30,40,19,4,1,99,665700,3.8800000000000003
stock,0,4,33,39,18,5,1,99,665949,3.8999999999999995
flora,0,4,27,43,21,4,1,99,665628,3.97
ratio,1,8,36,35,15,4,1,99,665648,3.7099999999999995
smash,0,2,17,41,29,9,2,98,664717,4.319999999999999
leafy,0,3,15,33,30,15,4,96,664080,4.510000000000001
locus,0,2,19,39,27,10,3,97,665977,4.33
ledge,0,2,12,38,33,12,3,97,666667,4.5
snafu,0,2,15,34,31,13,5,95,665433,4.53
under,0,8,25,34,23,8,2,98,664977,4.04
qualm,0,1,15,40,29,11,4,96,1780351,4.460000000000001
borax,0,1,9,27,33,21,9,91,1780653,4.91
carat,0,4,25,40,23,6,2,98,1780457,4.08
thief,0,5,35,42,15,2,1,99,665669,3.77
agony,0,2,22,45,24,6,1,99,666730,4.130000000000001
dwelt,0,1,13,39,33,11,3,97,669526,4.49
whiff,0,1,8,42,34,12,3,97,665071,4.569999999999999
hound,0,4,21,23,15,16,21,79,664546,4.81
thump,0,2,29,47,19,2,1,99,664647,3.93
plate,1,22,39,26,9,2,1,99,664776,3.3000000000000003
kayak,0,1,11,38,34,12,4,96,668254,4.57
broke,0,5,23,32,24,13,3,97,665420,4.26
unzip,0,1,12,35,33,15,4,96,667911,4.61
ditto,0,3,23,44,24,5,1,99,666122,4.08
joker,0,1,5,16,22,28,28,72,663802,5.55
metro,0,3,23,40,26,7,1,99,664933,4.140000000000001
logic,0,2,23,44,24,6,1,99,666104,4.120000000000001
circa,0,1,15,41,31,9,3,97,666511,4.41
cedar,0,5,36,39,16,3,1,99,666192,3.79
plaza,0,1,8,33,38,16,4,96,666319,4.72
range,0,10,29,35,19,5,2,98,664180,3.86
sulky,0,1,15,45,30,8,1,99,664688,4.32
horde,0,4,29,38,20,7,2,98,665329,4.029999999999999
guppy,0,1,9,33,35,17,5,95,664372,4.73
below,0,2,20,42,27,8,1,99,665305,4.220000000000001
anger,0,5,25,36,23,9,2,98,664197,4.12
ghoul,0,4,35,44,14,2,1,99,665935,3.78
aglow,0,1,15,36,30,14,4,96,665575,4.53
cocoa,0,1,8,33,35,17,6,94,666148,4.77
ethic,0,5,27,39,22,5,2,98,666634,4.01
broom,0,2,14,34,34,14,2,98,664548,4.5
snack,0,5,28,36,21,8,2,98,663912,4.05
acrid,0,6,32,41,16,4,1,99,665773,3.8299999999999996
scarf,0,3,18,30,27,16,6,94,664722,4.53
canoe,1,6,28,36,20,7,2,98,664561,3.97
latte,0,7,25,35,23,8,2,98,663867,4.06
plank,0,5,32,40,18,4,1,99,664042,3.8699999999999997
shorn,0,4,26,35,26,8,1,99,663892,4.109999999999999
grief,0,4,22,39,26,8,1,99,664522,4.15
flask,0,4,25,42,23,5,1,99,663404,4.029999999999999
brash,0,5,28,39,21,6,1,99,664572,3.9799999999999995
igloo,0,2,18,43,28,7,2,98,665865,4.26
clerk,0,5,31,42,18,3,1,99,667844,3.86
utter,0,3,23,32,27,12,3,97,665360,4.3100000000000005
bagel,0,2,16,36,31,12,3,97,665437,4.4399999999999995
swine,0,2,14,44,31,8,1,99,664927,4.32
ramen,0,3,18,38,28,11,2,98,666419,4.319999999999999
skimp,0,2,19,43,26,8,2,98,667718,4.249999999999999
mouse,1,6,30,37,19,6,1,99,667115,3.8899999999999997
kneel,0,1,14,40,33,10,2,98,668385,4.43
agile,0,6,29,36,21,7,1,99,665369,3.9699999999999993
jazzy,0,1,1,8,28,40,22,78,665632,5.71
humid,0,3,29,47,17,3,1,99,664751,3.9099999999999997
nanny,0,1,3,14,28,32,22,78,667125,5.529999999999999
beast,1,10,28,32,20,7,2,98,666310,3.89
ennui,0,1,15,36,31,12,5,95,666100,4.529999999999999
scout,0,5,25,34,24,10,2,98,665355,4.1499999999999995
hater,0,4,15,23,22,20,16,84,665451,4.87
crumb,0,3,28,48,17,3,1,99,14339,3.92
balsa,0,1,11,31,35,17,5,95,662836,4.709999999999999
again,0,5,20,43,24,6,2,98,667666,4.12
guard,0,5,26,39,23,6,1,99,666988,4.02
wrong,0,3,27,44,21,4,1,99,665052,3.9899999999999998
plunk,0,2,19,43,28,7,1,99,664872,4.220000000000001
crime,0,8,33,37,17,4,1,99,664628,3.7899999999999996
maybe,0,2,13,33,30,16,6,94,666752,4.63
strap,0,12,34,34,15,4,1,99,665514,3.68
ranch,0,9,34,38,16,2,1,99,666840,3.7099999999999995
shyly,0,1,13,49,29,6,2,98,666909,4.32
kazoo,0,1,3,17,36,28,15,85,669430,5.319999999999999
frost,0,8,39,36,14,2,1,99,665353,3.6599999999999997
crane,2,12,29,28,18,8,3,97,663105,3.84
taste,0,9,22,21,17,17,14,86,663272,4.53
covet,0,2,17,41,30,9,1,99,664395,4.300000000000001
grand,0,5,30,40,20,4,1,99,664555,3.9099999999999997
rodeo,0,5,19,37,27,10,2,98,665569,4.239999999999999
guest,0,5,25,37,24,8,1,99,663975,4.08
about,1,13,37,34,12,2,1,99,664436,3.5300000000000002
tract,0,3,23,41,25,7,1,99,1395547,4.13
diner,0,5,25,34,23,10,3,97,1459444,4.17
straw,0,5,24,38,23,8,2,98,1518098,4.109999999999999
bleep,0,1,21,48,25,4,1,99,1270629,4.13
mossy,0,1,15,42,30,9,3,97,1773696,4.3999999999999995
hotel,0,5,30,40,20,4,1,99,1337890,3.9099999999999997
irate,2,14,28,24,16,10,6,94,1517953,3.9200000000000004
venom,0,2,17,42,29,8,2,98,1266857,4.3
