Answer,1,2,3,4,5,6,7,Wins,Game Count,Average Guesses
build,0,5,27,40,22,5,1,99,1740133,3.98
heavy,0,3,17,39,30,9,2,98,1740830,4.31
apart,0,5,30,37,20,6,2,98,1742301,3.98
piper,0,1,7,17,24,26,25,75,1740060,5.42
smith,0,4,28,41,21,5,1,99,1741757,3.979999999999999
often,0,4,23,41,23,7,2,98,1743734,4.119999999999999
sense,0,2,14,40,28,12,4,96,1743082,4.46
devil,0,3,24,41,23,7,2,98,1744580,4.13
image,0,6,24,36,22,9,3,97,1745635,4.13
forty,0,3,21,39,25,10,2,98,1745847,4.239999999999999
urban,0,3,22,41,24,8,2,98,1747800,4.179999999999999
state,0,5,12,22,25,22,14,86,1742030,4.890000000000001
flame,0,5,21,36,26,10,2,98,1742386,4.209999999999999
hunch,0,1,7,18,25,32,17,83,1742568,5.3100000000000005
teary,0,9,36,34,16,4,1,99,1742627,3.73
clone,0,10,39,34,13,3,1,99,1742753,3.63
early,1,5,28,38,21,6,1,99,1745262,3.9499999999999993
cheer,0,7,29,36,20,7,1,99,1742918,3.94
grasp,0,5,29,40,20,5,1,99,1744054,3.94
pesky,0,3,22,44,23,6,2,98,1743926,4.13
heave,0,2,14,34,32,14,4,96,1744112,4.54
local,0,2,22,38,25,10,3,97,1745574,4.28
since,0,4,29,39,21,6,1,99,1742332,3.9899999999999993
erupt,1,3,28,43,20,4,1,99,1753267,3.94
toxin,0,2,18,43,26,9,2,98,1754895,4.279999999999999
snort,0,5,25,38,24,7,1,99,1752171,4.0600000000000005
spelt,0,4,23,40,25,7,1,99,1752942,4.11
abide,0,10,26,35,21,6,2,98,1756573,3.9299999999999997
lingo,0,2,14,37,31,13,3,97,1762004,4.48
shade,0,5,22,28,22,16,7,93,1755170,4.430000000000001
decay,0,2,17,39,28,11,3,97,1759933,4.38
risen,0,7,32,41,16,3,1,99,1757636,3.79
towel,0,3,22,41,26,7,1,99,1759597,4.15
sally,0,1,11,31,29,16,12,88,1757051,4.84
mayor,0,2,14,31,29,17,7,93,1757417,4.66
stung,0,2,19,33,24,14,8,92,1756358,4.529999999999999
speak,0,9,34,37,15,4,1,99,1757823,3.7399999999999998
realm,0,7,31,39,18,4,1,99,1757655,3.8399999999999994
force,0,5,27,37,22,7,2,98,1759265,4.05
taboo,0,2,17,40,29,9,3,97,1763639,4.3500000000000005
frond,0,2,21,36,28,11,2,98,1760009,4.31
serum,0,4,26,40,21,7,2,98,1760818,4.069999999999999
plait,0,6,38,38,14,3,1,99,1761446,3.7299999999999995
climb,1,4,31,40,17,6,1,99,1763852,3.9
wrist,0,6,32,39,17,5,1,99,1765775,3.86
finch,0,2,11,31,31,19,6,94,1767532,4.72
voila,0,2,16,33,30,14,5,95,1777247,4.529999999999999
breed,0,3,16,32,28,16,5,95,1769186,4.529999999999999
merge,0,2,12,37,33,13,3,97,1768916,4.52
broth,0,6,29,37,20,7,1,99,1766924,3.9599999999999995
louse,0,5,23,33,25,11,3,97,1769317,4.2299999999999995
whiny,0,1,14,46,29,8,2,98,1772300,4.3500000000000005
steel,0,8,31,37,18,5,1,99,1767628,3.84
blimp,0,2,25,47,21,4,1,99,1769096,4.03
equip,0,3,21,36,26,9,5,95,1783803,4.319999999999999
shank,0,3,23,36,25,10,3,97,1770396,4.25
tithe,0,2,20,37,23,12,6,94,1771195,4.41
facet,0,3,19,39,27,10,2,98,1770990,4.279999999999999
raise,5,16,36,27,11,4,1,99,1769726,3.39
lucid,0,4,29,46,17,3,1,99,1770744,3.89
jolly,0,1,4,15,22,29,29,71,1768189,5.609999999999999
laser,0,11,32,30,17,7,3,97,1768675,3.86
rover,0,2,7,15,20,26,30,70,1764051,5.51
overt,0,5,27,36,21,8,3,97,1770144,4.090000000000001
intro,0,4,24,39,23,8,2,98,1775270,4.13
vapid,0,2,20,42,25,9,2,98,1772804,4.249999999999999
gleam,0,4,22,36,28,8,2,98,1768950,4.199999999999999
prune,0,5,39,42,12,1,1,99,1769381,3.68
craft,0,6,27,35,21,9,2,98,1769991,4.06
prowl,0,3,18,34,27,13,5,95,1771388,4.44
diary,0,6,36,37,16,4,1,99,1774755,3.7900000000000005
slice,1,7,29,34,21,7,1,99,1770636,3.9199999999999995
ebony,0,3,25,41,23,6,2,98,1775209,4.1
value,0,3,18,34,29,13,3,97,1771032,4.4
decal,0,3,23,40,24,8,2,98,1770499,4.169999999999999
shave,0,3,8,17,25,29,18,82,1769103,5.2299999999999995
musty,0,2,23,36,22,12,5,95,1773331,4.34
pious,1,3,24,33,23,11,5,95,1785774,4.27
jerky,0,1,5,22,34,27,11,89,1775282,5.140000000000001
media,1,6,25,38,22,6,2,98,1780593,4.0
tidal,0,7,34,39,16,3,1,99,1773367,3.7700000000000005
outer,0,4,21,28,24,15,8,92,1772642,4.49
cumin,0,3,25,43,22,6,1,99,1777300,4.0600000000000005
amass,0,2,14,37,30,12,5,95,1774808,4.51
pinch,0,5,32,41,16,5,1,99,1774598,3.8699999999999997
stall,0,6,22,32,24,11,5,95,1773227,4.27
tutor,0,2,18,40,29,9,2,98,1776598,4.31
briny,0,1,9,33,42,13,2,98,1770857,4.63
hitch,0,2,8,17,20,26,27,73,1771339,5.41
nicer,0,3,21,35,24,11,6,94,1773933,4.37
dingo,0,3,13,37,30,13,4,96,1777468,4.49
exalt,0,3,22,41,25,7,2,98,1775575,4.17
swish,0,2,20,40,26,10,2,98,1772834,4.279999999999999
glide,0,6,34,39,16,4,1,99,1770260,3.81
titan,0,4,32,40,18,5,1,99,1775895,3.9099999999999997
bevel,0,1,9,32,35,17,6,94,1773166,4.76
skier,0,3,18,30,28,16,5,95,1773877,4.51
minus,0,3,20,37,22,12,6,94,1775970,4.38
papal,0,1,7,28,37,19,8,92,1776288,4.9
gummy,0,1,7,30,34,20,8,92,1770135,4.890000000000001
chaos,1,2,24,33,20,11,9,91,1773273,4.38
basin,0,5,32,38,18,6,1,99,1772424,3.9099999999999997
bravo,0,4,18,32,31,12,3,97,1774040,4.38
stark,0,9,28,32,20,8,3,97,1769908,3.9899999999999998
groom,0,2,10,34,36,15,3,97,1771915,4.61
organ,0,4,23,41,25,6,1,99,1771610,4.09
ether,0,3,22,38,26,9,2,98,1769149,4.22
melon,0,4,24,38,25,7,2,98,1771268,4.13
hence,0,2,14,36,31,14,3,97,1775392,4.5
crowd,0,4,26,39,23,7,1,99,1772932,4.06
manga,0,1,3,20,41,26,9,91,1771746,5.1499999999999995
swung,0,1,10,39,33,14,3,97,1769566,4.58
deter,0,2,19,33,27,15,4,96,1770089,4.460000000000001
angst,0,4,23,37,24,9,3,97,1781747,4.2
vault,0,3,17,36,28,12,4,96,1772740,4.41
proud,0,14,43,30,10,2,1,99,1771449,3.46
grind,0,7,41,37,12,2,1,99,1772630,3.64
prior,0,3,24,36,23,10,4,96,1771091,4.25
cover,0,3,15,24,25,20,13,87,1768957,4.83
terse,0,8,29,35,19,7,2,98,1772048,3.94
scent,0,7,27,36,21,7,2,98,1771045,4.0
paint,1,12,38,33,12,3,1,99,1771765,3.56
edict,0,6,22,37,26,7,2,98,1775121,4.119999999999999
bugle,0,2,13,41,33,9,2,98,1773286,4.3999999999999995
dolly,0,2,17,37,25,12,7,93,1769050,4.49
savor,0,6,29,33,21,8,3,97,1768444,4.050000000000001
knead,0,2,20,39,27,9,3,97,1774092,4.3
order,0,5,26,34,21,10,4,96,1770496,4.17
drove,0,4,25,34,24,10,3,97,1769236,4.2
zebra,0,3,15,33,31,14,4,96,1780169,4.5
buddy,0,2,13,36,33,13,3,97,1774688,4.51
adage,0,3,18,33,27,14,5,95,1770468,4.46
inlay,0,3,20,42,25,7,3,97,1774022,4.22
thigh,0,2,23,44,24,6,1,99,1771732,4.120000000000001
debut,0,2,22,41,26,7,2,98,1776992,4.199999999999999
crush,0,7,34,40,15,3,1,99,1772365,3.7600000000000002
scoff,0,1,8,31,40,16,4,96,1774236,4.74
canon,0,2,16,36,30,12,4,96,1776353,4.46
shape,0,8,30,34,18,7,3,97,1769405,3.9499999999999997
blare,0,4,15,29,32,16,4,96,1769138,4.53
gaunt,0,3,18,31,23,15,10,90,1770949,4.59
cameo,0,3,19,35,30,10,3,97,1773354,4.34
jiffy,0,1,5,22,35,27,10,90,1769395,5.12
enact,0,7,31,38,19,4,1,99,1771905,3.85
video,0,6,19,37,27,9,2,98,1776481,4.2
swoon,0,1,14,47,30,7,1,99,1769963,4.3100000000000005
decoy,0,2,21,43,25,7,2,98,1773171,4.2
quite,0,6,23,38,23,8,2,98,1768871,4.1
nerdy,0,2,20,40,26,9,3,97,1772633,4.29
refer,0,2,8,24,33,23,10,90,1769307,4.97
shaft,0,5,27,40,21,6,1,99,1770653,3.99
speck,0,5,28,41,20,5,1,99,1772154,3.9499999999999997
cadet,0,4,32,41,18,4,1,99,1771300,3.8899999999999992
prong,0,3,26,38,21,8,4,96,1770810,4.17
forte,0,3,23,38,25,9,2,98,1770575,4.2
porch,0,6,35,39,16,3,1,99,1771591,3.7800000000000002
awash,0,2,12,29,31,18,8,92,1770205,4.75
juice,0,3,17,41,28,9,2,98,1776874,4.29
smock,0,2,17,45,29,6,1,99,1774352,4.23
super,0,7,33,37,17,5,1,99,1771220,3.8299999999999996
feral,0,4,26,40,23,6,1,99,1769559,4.04
penne,0,1,11,40,34,11,3,97,1774333,4.5200000000000005
chalk,0,6,37,41,13,2,1,99,1772764,3.71
flake,0,3,15,31,30,17,4,96,1770149,4.55
scale,0,9,35,34,17,4,1,99,1773823,3.7499999999999996
lower,0,2,13,27,31,19,8,92,1774437,4.76
ensue,0,2,21,41,25,8,3,97,1775204,4.25
anvil,0,5,26,39,21,7,2,98,1772159,4.05
macaw,0,1,7,33,38,16,5,95,1778771,4.76
saucy,0,3,24,34,20,11,8,92,1772969,4.36
ounce,0,5,28,39,20,6,2,98,1778066,4.0
medic,0,5,26,42,20,6,1,99,1781031,3.9899999999999998
scone,0,7,32,40,17,3,1,99,1775549,3.8000000000000003
skiff,0,1,4,23,41,23,8,92,1772622,5.050000000000001
neigh,0,3,21,41,25,8,2,98,1774673,4.2
shore,0,13,31,27,15,9,5,95,1771417,3.91
acorn,0,7,34,38,16,4,1,99,1774384,3.7900000000000005
brace,0,6,24,35,24,9,2,98,1772904,4.119999999999999
storm,0,9,30,34,20,6,1,99,1774956,3.87
lanky,0,2,17,36,29,12,4,96,1776577,4.44
meter,0,3,20,39,27,9,2,98,1772372,4.249999999999999
delay,0,4,26,44,20,5,1,99,1773640,3.9899999999999998
mulch,0,2,19,50,23,5,1,99,1774325,4.13
brute,0,6,36,41,14,2,1,99,1772810,3.73
leech,0,2,21,44,26,6,1,99,1776793,4.160000000000001
filet,0,2,23,41,25,8,1,99,1777677,4.17
skate,0,9,30,36,19,5,1,99,1774532,3.8399999999999994
stake,0,8,25,31,21,11,4,96,1771633,4.140000000000001
crown,0,7,24,33,23,11,2,98,1775452,4.13
lithe,0,4,26,39,21,8,2,98,1774413,4.09
flunk,0,1,16,45,29,7,2,98,1772508,4.31
knave,0,2,16,33,29,15,5,95,1779946,4.54
spout,0,6,32,36,19,6,1,99,1777926,3.8999999999999995
mushy,0,2,14,34,29,15,6,94,1778629,4.59
camel,0,3,23,38,24,10,2,98,1776875,4.209999999999999
faint,0,4,25,39,23,8,1,99,1778716,4.09
stern,1,15,39,30,12,2,1,99,1779003,3.4699999999999998
widen,0,2,21,42,26,7,2,98,1777258,4.21
rerun,0,2,16,36,30,12,4,96,1777885,4.46
owner,0,2,18,37,27,12,4,96,1777180,4.41
drawn,0,2,21,42,27,7,1,99,1777956,4.19
debit,0,4,24,40,23,7,2,98,1778567,4.109999999999999
rebel,0,2,16,34,31,14,3,97,1776599,4.48
aisle,2,11,36,31,14,5,1,99,1781515,3.6299999999999994
brass,0,2,17,34,26,13,8,92,1775837,4.550000000000001
harsh,0,6,25,37,23,7,2,98,1777261,4.06
broad,0,9,37,34,15,4,1,99,1779838,3.7100000000000004
recur,0,1,16,38,29,12,4,96,1781682,4.47
honey,0,2,15,35,30,14,4,96,1777499,4.51
beaut,0,3,17,35,31,10,4,96,1783348,4.4
fully,0,1,8,28,31,23,9,91,1775254,4.94
press,0,6,31,36,18,6,3,97,1777892,3.96
smoke,0,3,21,41,27,7,1,99,1775765,4.170000000000001
seven,0,2,24,41,23,8,2,98,1775415,4.169999999999999
teach,1,17,38,30,11,2,1,99,1774162,3.43
steam,1,14,31,31,17,5,1,99,1775695,3.6799999999999997
handy,0,3,21,36,25,11,4,96,1776348,4.32
torch,0,7,38,39,13,2,1,99,1777252,3.6799999999999997
thank,0,14,45,32,7,1,1,99,1776001,3.39
faith,0,7,36,37,15,4,1,99,1779282,3.7600000000000002
brain,0,10,31,34,20,4,1,99,1780037,3.8000000000000003
rider,0,3,15,26,25,18,13,87,1776221,4.79
cloud,1,10,45,32,9,2,1,99,1779833,3.48
modem,0,2,11,36,36,13,2,98,1780915,4.53
shell,0,4,23,38,23,10,2,98,1777349,4.18
wagon,0,2,18,40,29,9,2,98,1783150,4.31
title,0,4,26,40,22,6,2,98,1780627,4.06
miner,0,4,18,30,26,16,6,94,1779644,4.5
lager,0,2,11,22,26,22,17,83,1781519,5.0600000000000005
flour,0,5,36,40,15,3,1,99,1775353,3.7800000000000002
joint,0,2,19,40,27,10,2,98,1778623,4.3
mommy,0,1,3,18,29,29,20,80,1779862,5.42
carve,0,5,19,30,27,14,5,95,1778718,4.409999999999999
gusty,0,2,10,24,29,23,12,88,1775614,4.97
stain,1,16,41,27,10,4,1,99,1781385,3.4499999999999997
prone,0,7,30,36,18,7,2,98,1781493,3.94
gamut,0,2,17,38,29,11,3,97,1780961,4.390000000000001
corer,0,1,3,10,18,24,44,56,1777498,5.93
grant,0,9,36,35,15,4,1,99,1777748,3.72
halve,0,2,14,30,31,17,6,94,1777817,4.65
stint,0,2,17,35,32,11,3,97,1778808,4.42
fiber,0,1,8,20,26,25,20,80,1774158,5.26
dicey,0,1,16,39,31,10,3,97,1777894,4.42
spoon,1,3,28,43,20,4,1,99,1779504,3.94
shout,1,10,33,31,17,6,2,98,1177113,3.79
goofy,0,1,7,31,36,19,6,94,1782652,4.83
bossy,1,1,23,43,23,7,2,98,1780451,4.1499999999999995
frown,1,2,13,28,31,20,5,95,1779521,4.66
wreak,0,2,7,17,29,30,15,85,1023100,5.2299999999999995
sandy,0,7,33,34,15,7,4,96,1778083,3.9400000000000004
bawdy,0,1,5,21,36,27,10,90,1781638,5.13
tunic,0,3,32,43,18,3,1,99,953121,3.89
easel,0,4,19,30,26,14,7,93,1787758,4.4799999999999995
weird,0,5,30,39,19,6,1,99,1788263,3.9399999999999995
sixth,0,1,13,39,32,12,3,97,1785704,4.5
snoop,0,2,18,42,27,9,2,98,1786577,4.29
blaze,0,1,6,20,37,27,9,91,962397,5.1000000000000005
vinyl,0,1,13,44,31,8,3,97,1789730,4.409999999999999
octet,0,2,14,36,31,12,5,95,1789485,4.52
truly,0,2,23,34,26,12,3,97,1790489,4.319999999999999
event,0,2,21,40,26,8,3,97,1792885,4.260000000000001
ready,1,10,38,36,12,2,1,99,1789019,3.58
swell,0,1,11,30,36,18,4,96,1789796,4.71
inner,0,2,18,37,27,12,4,96,1789622,4.41
stoic,0,4,35,37,16,6,2,98,1789889,3.91
flown,0,2,14,35,35,12,2,98,1788148,4.47
primp,0,1,8,27,31,21,12,88,1786793,4.99
uvula,0,1,6,21,35,24,13,87,1798734,5.140000000000001
tacky,0,4,28,39,19,7,3,97,1788726,4.06
visor,0,3,27,42,20,6,2,98,1792271,4.05
tally,0,3,23,38,23,9,4,96,1791417,4.24
frail,0,5,26,37,24,7,1,99,1786909,4.05
going,0,2,18,35,28,13,4,96,1786189,4.44
niche,0,4,31,43,17,4,1,99,1787332,3.89
spine,0,8,35,35,16,5,1,99,1786325,3.78
pearl,0,8,33,37,18,3,1,99,1787360,3.78
jelly,0,1,10,31,34,17,7,93,1790431,4.77
twist,0,3,25,41,23,6,2,98,1791406,4.1
brown,0,4,18,27,28,18,5,95,1786792,4.529999999999999
witch,0,2,14,30,30,18,6,94,1787171,4.66
slang,0,3,23,41,24,7,2,98,1786374,4.1499999999999995
chock,0,1,14,47,27,8,3,97,1789318,4.36
hippo,0,2,21,46,23,6,2,98,1795452,4.16
dogma,0,1,11,39,34,12,3,97,1797958,4.54
mauve,0,2,14,31,31,16,6,94,1791976,4.63
guile,0,2,19,40,27,9,3,97,1786439,4.31
shaky,0,2,20,44,26,7,1,99,1786432,4.19
crypt,0,2,34,47,14,2,1,99,1790647,3.8299999999999996
endow,0,1,14,40,31,10,4,96,1791744,4.47
shove,0,3,24,40,25,7,1,99,1785621,4.12
hilly,0,1,17,42,25,11,4,96,1790797,4.4
hyena,0,2,17,40,28,10,3,97,1801983,4.36
flung,0,1,15,44,30,8,2,98,1785639,4.35
patio,0,6,34,38,17,4,1,99,1790705,3.82
plumb,0,2,18,40,27,10,3,97,1787346,4.34
vying,0,1,3,19,37,27,13,87,1787372,5.25
boxer,0,1,6,15,22,28,28,72,1786416,5.54
drool,0,2,17,39,30,10,2,98,1006857,4.35
funky,0,1,14,39,31,12,3,97,1790232,4.4799999999999995
boast,0,5,28,38,21,7,1,99,1788042,3.9999999999999996
scowl,0,2,18,40,29,9,2,98,1787673,4.31
hefty,0,3,18,39,29,9,2,98,1788175,4.29
stray,0,6,22,34,25,10,3,97,1786949,4.2
flash,0,6,27,38,21,7,1,99,1784884,3.9899999999999998
blade,0,5,24,35,25,9,2,98,1786693,4.1499999999999995
brawn,0,2,18,40,31,8,1,99,1789418,4.280000000000001
sauna,0,3,25,40,23,7,2,98,1790916,4.12
eagle,0,2,12,25,30,21,10,90,1792014,4.86
share,1,15,27,25,17,11,4,96,1783591,3.91
affix,0,2,8,29,34,17,10,90,1801597,4.86
grain,0,6,26,37,24,6,1,99,1788490,4.01
decry,0,1,15,38,32,11,3,97,1793571,4.46
mambo,0,1,5,25,35,22,12,88,1798170,5.08
stare,6,19,30,23,13,6,3,97,1788890,3.48
lemur,0,2,22,38,27,9,2,98,1789468,4.25
nerve,0,2,15,37,31,12,3,97,1791022,4.45
chose,0,10,40,34,13,2,1,99,1789093,3.5999999999999996
cheap,0,8,42,37,10,2,1,99,1789696,3.59
relax,0,3,16,36,31,11,3,97,1791294,4.4
cyber,0,1,7,27,37,22,6,94,1780493,4.9
sprig,0,4,34,41,16,4,1,99,1791236,3.85
atlas,0,9,32,37,17,4,1,99,1793131,3.78
draft,0,6,27,37,22,7,1,99,1788661,4.0
wafer,0,2,8,18,25,27,20,80,1788861,5.27
crawl,0,4,24,38,23,9,2,98,1789172,4.1499999999999995
dingy,0,2,17,39,27,10,5,95,1792478,4.41
total,0,4,31,39,19,6,1,99,1794650,3.95
cloak,0,6,36,39,15,3,1,99,1788369,3.7600000000000002
fancy,0,3,21,38,26,10,2,98,1788495,4.249999999999999
knack,0,1,18,37,28,12,4,96,1790487,4.44
flint,0,5,33,41,17,3,1,99,1787581,3.83
prose,0,11,37,27,15,7,3,97,1787925,3.79
silly,0,3,26,47,20,3,1,99,1788952,3.9699999999999998
rower,0,1,5,13,19,26,36,64,1790533,5.720000000000001
squid,0,4,26,38,22,7,3,97,1793641,4.11
icing,0,2,11,33,32,15,7,93,1789565,4.680000000000001
reach,1,19,37,29,11,2,1,99,1787758,3.4
upper,0,2,16,32,31,15,4,96,1788220,4.53
crepe,0,2,22,45,25,5,1,99,1789240,4.12
crisp,0,7,36,40,14,2,1,99,1790297,3.7100000000000004
sunny,0,2,26,48,19,4,1,99,1790619,4.000000000000001
shunt,0,5,41,40,11,2,1,99,1788832,3.6700000000000004
fever,0,1,8,30,36,20,5,95,1786964,4.81
udder,0,8,12,26,30,18,6,94,1787623,4.5600000000000005
false,0,7,28,36,21,7,1,99,1788561,3.9599999999999995
toast,0,6,29,34,22,7,2,98,1788882,4.01
rivet,0,3,26,42,22,6,1,99,1790287,4.05
chore,0,14,43,30,10,2,1,99,1790680,3.46
revue,0,1,13,34,33,14,5,95,1790240,4.609999999999999
tooth,0,2,21,43,26,6,2,98,1788108,4.19
pedal,0,4,31,40,19,5,1,99,1788150,3.93
pupil,0,2,19,43,27,7,2,98,1792538,4.24
swath,0,5,22,39,25,7,2,98,1788403,4.13
steep,0,7,33,38,16,5,1,99,1790110,3.82
bonus,0,3,27,37,22,9,2,98,1793335,4.13
goody,0,1,6,24,32,25,12,88,1790654,5.1
score,0,9,31,30,18,9,3,97,1787806,3.96
rapid,0,8,37,37,14,3,1,99,1791117,3.7
rumba,0,1,13,41,32,10,3,97,997914,4.46
